fifa_match_no;home_team;away_team;starts_at;stage;match_round;tournament_code;group_code;venue;city;source_url
1;Мексика;ЮАР;2026-06-11T22:00:00+03:00;group;1;wc2026;A;Estadio Azteca;Mexico City;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
2;Южная Корея;Чехия;2026-06-12T05:00:00+03:00;group;1;wc2026;A;Estadio Akron;Guadalajara;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
3;Канада;Босния и Герцеговина;2026-06-12T22:00:00+03:00;group;1;wc2026;B;BMO Field;Toronto;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
4;США;Парагвай;2026-06-13T04:00:00+03:00;group;1;wc2026;D;SoFi Stadium;Los Angeles;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
5;Гаити;Шотландия;2026-06-14T04:00:00+03:00;group;1;wc2026;C;Gillette Stadium;Boston;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
6;Австралия;Турция;2026-06-13T07:00:00+03:00;group;1;wc2026;D;BC Place;Vancouver;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
7;Бразилия;Марокко;2026-06-14T01:00:00+03:00;group;1;wc2026;C;MetLife Stadium;New York/New Jersey;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
8;Катар;Швейцария;2026-06-13T22:00:00+03:00;group;1;wc2026;B;Levi's Stadium;San Francisco Bay Area;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
9;Кот-д’Ивуар;Эквадор;2026-06-15T02:00:00+03:00;group;1;wc2026;E;Lincoln Financial Field;Philadelphia;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
10;Германия;Кюрасао;2026-06-14T20:00:00+03:00;group;1;wc2026;E;NRG Stadium;Houston;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
11;Нидерланды;Япония;2026-06-14T23:00:00+03:00;group;1;wc2026;F;AT&T Stadium;Dallas;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
12;Швеция;Тунис;2026-06-15T05:00:00+03:00;group;1;wc2026;F;Estadio BBVA;Monterrey;https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
